Company,System,AutoParallel,EnabledCores,EnabledChips,CoresPerChip,ThreadsPerCore,Base,Peak,CPU
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.20 GHz, Intel Xeon E5-2650 v4)",Yes,24,2,12,1,108.0,112,Intel Xeon E5-2650 v4
Lenovo Group Limited,"Lenovo NeXtScale nx360 M5 (3.20 GHz, Intel Xeon E5-2667 v4)",Yes,16,2,8,1,127.0,130,Intel Xeon E5-2667 v4
Lenovo Group Limited,"Lenovo System x3550 M5 (2.20 GHz, Intel Xeon E5-2699R v4)",Yes,44,2,22,1,120.0,127,Intel Xeon E5-2699R v4
Lenovo Group Limited,"Lenovo NeXtScale nx360 M5 (2.20 GHz, Intel Xeon E5-2699R v4)",Yes,44,2,22,1,121.0,127,Intel Xeon E5-2699R v4
Lenovo Group Limited,"Lenovo ThinkServer RD550 (2.20 GHz, Intel Xeon E5-2699R v4)",Yes,44,2,22,1,119.0,126,Intel Xeon E5-2699R v4
Lenovo Group Limited,"Lenovo ThinkServer RD650 (2.20 GHz, Intel Xeon E5-2699R v4)",Yes,44,2,22,1,119.0,126,Intel Xeon E5-2699R v4
Lenovo Group Limited,"Lenovo Flex System x240 M5 (2.20 GHz, Intel Xeon E5-2699R v4)",Yes,44,2,22,1,121.0,128,Intel Xeon E5-2699R v4
Lenovo Group Limited,"Lenovo System x3650 M5 (2.20 GHz, Intel Xeon E5-2699R v4)",Yes,44,2,22,1,121.0,127,Intel Xeon E5-2699R v4
Lenovo Group Limited,"Lenovo ThinkServer RD550 (2.30 GHz, Intel Xeon E5-2697 v4)",Yes,36,2,18,1,120.0,126,Intel Xeon E5-2697 v4
Lenovo Group Limited,"Lenovo ThinkServer TS460 (3.70 GHz, Intel Xeon E3-1280 v5)",Yes,4,1,4,1,94.5,96.9,Intel Xeon E3-1280 v5
Lenovo Group Limited,"Lenovo System x3650 M5 (3.20 GHz, Intel Xeon E5-2667 v4)",Yes,16,2,8,1,127.0,130,Intel Xeon E5-2667 v4
Lenovo Group Limited,"Lenovo System x3850 X6 (Intel Xeon E7-8894 v4, 2.40 GHz)",Yes,96,4,24,1,123.0,Not Run,Intel Xeon E7-8894 v4
Lenovo Group Limited,"Lenovo System x3950 X6 (Intel Xeon E7-8894 v4, 2.40 GHz)",Yes,192,8,24,1,118.0,Not Run,Intel Xeon E7-8894 v4
Lenovo Group Limited,"Lenovo ThinkServer RD550 (2.40 GHz, Intel Xeon E5-2680 v4)",Yes,28,2,14,1,117.0,122,Intel Xeon E5-2680 v4
Lenovo Group Limited,"Lenovo ThinkServer TS460 (3.00 GHz, Intel Xeon E3-1220 v5)",Yes,4,1,4,1,87.6,89.5,Intel Xeon E3-1220 v5
Lenovo Group Limited,"Lenovo ThinkServer TS460 (3.40 GHz, Intel Xeon E3-1230 v5)",Yes,4,1,4,1,92.4,94.4,Intel Xeon E3-1230 v5
Lenovo Group Limited,"Lenovo ThinkServer TS460 (3.50 GHz, Intel Xeon E3-1240 v5)",Yes,4,1,4,1,93.8,95.9,Intel Xeon E3-1240 v5
Lenovo Group Limited,"Lenovo ThinkServer TS460 (3.60 GHz, Intel Xeon E3-1270 v5)",Yes,4,1,4,1,95.4,97.4,Intel Xeon E3-1270 v5
