Company,System,BaseCopies,EnabledCores,EnabledChips,CoresPerChip,ThreadsPerCore,Base,Peak,CPU
Lenovo Group Limited,"Lenovo System x3850 X6 (Intel Xeon E7-8894 v4, 2.40 GHz)",96,48,2,24,2,1840.0,Not Run,Intel Xeon E7-8894 v4
Lenovo Group Limited,"Lenovo System x3850 X6 (Intel Xeon E7-8894 v4, 2.40 GHz)",192,96,4,24,2,3750.0,Not Run,Intel Xeon E7-8894 v4
Lenovo Group Limited,"Lenovo System x3950 X6 (Intel Xeon E7-8894 v4, 2.40 GHz)",384,192,8,24,2,7210.0,Not Run,Intel Xeon E7-8894 v4
Lenovo Group Limited,"Lenovo System x3950 X6 (Intel Xeon E7-8870 v4, 2.10 GHz)",320,160,8,20,2,5820.0,6050,Intel Xeon E7-8870 v4
Lenovo Group Limited,"Lenovo ThinkServer RD550 (2.40 GHz, Intel Xeon E5-2680 v4)",56,28,2,14,2,1250.0,1300,Intel Xeon E5-2680 v4
Lenovo Group Limited,"Lenovo ThinkServer TS460 (3.00 GHz, Intel Xeon E3-1220 v5)",4,4,1,4,1,194.0,200,Intel Xeon E3-1220 v5
Lenovo Group Limited,"Lenovo ThinkServer TS460 (3.40 GHz, Intel Xeon E3-1230 v5)",8,4,1,4,2,241.0,248,Intel Xeon E3-1230 v5
Lenovo Group Limited,"Lenovo ThinkServer TS460 (3.50 GHz, Intel Xeon E3-1240 v5)",8,4,1,4,2,246.0,253,Intel Xeon E3-1240 v5
Lenovo Group Limited,"Lenovo ThinkServer TS460 (3.60 GHz, Intel Xeon E3-1270 v5)",8,4,1,4,2,250.0,257,Intel Xeon E3-1270 v5
Lenovo Group Limited,"Lenovo ThinkServer TD350 (2.00 GHz, Intel Xeon E5-2660 v4)",56,28,2,14,2,1110.0,1160,Intel Xeon E5-2660 v4
Lenovo Group Limited,"Lenovo ThinkServer TD350 (2.40 GHz, Intel Xeon E5-2640 v4)",40,20,2,10,2,853.0,890,Intel Xeon E5-2640 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.10 GHz, Intel Xeon E5-2620 v4)",32,16,2,8,2,640.0,673,Intel Xeon E5-2620 v4
Lenovo Group Limited,"Lenovo ThinkServer RD550 (3.50 GHz, Intel Xeon E5-2637 v4)",16,8,2,4,2,467.0,490,Intel Xeon E5-2637 v4
M Computers s.r.o.,"MIC HD S7200AP (Intel Xeon Phi 7210, 1.30GHz)",128,64,1,64,4,686.0,Not Run,Intel Xeon Phi 7210
M Computers s.r.o.,"HPC S2600WT2R (Intel Xeon E5-2650 v4, 2.2 GHz)",48,24,2,12,2,983.0,1030,Intel Xeon E5-2650 v4
NEC Corporation,Express5800/B120g-h (Intel Xeon E5-2667 v4),16,8,1,8,2,461.0,483,Intel Xeon E5-2667 v4
NEC Corporation,Express5800/B120g-h (Intel Xeon E5-2699 v4),44,22,1,22,2,837.0,866,Intel Xeon E5-2699 v4
NEC Corporation,Express5800/B120g-h (Intel Xeon E5-2667 v4),32,16,2,8,2,890.0,934,Intel Xeon E5-2667 v4
NEC Corporation,Express5800/B120g-h (Intel Xeon E5-2699 v4),88,44,2,22,2,1640.0,1700,Intel Xeon E5-2699 v4
Sugon,Sugon TC4600E/CX50-G20 (Intel Xeon E5-2690 v4),56,28,2,14,2,1330.0,1380,Intel Xeon E5-2690 v4
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2640 v4, 2.40 GHz)",40,20,2,10,2,852.0,890,Intel Xeon E5-2640 v4
Acer Incorporated,Altos R380 F3 (Intel Xeon E5-2650 v4 ),48,24,2,12,2,938.0,969,Intel Xeon E5-2650 v4 
Acer Incorporated,Altos R360 F3 (Intel Xeon E5-2620 v4),16,8,1,8,2,332.0,351,Intel Xeon E5-2620 v4
Acer Incorporated,Altos R380 F3 (Intel Xeon E5-2620 v4),16,8,1,8,2,333.0,351,Intel Xeon E5-2620 v4
Acer Incorporated,Altos AT 350 F3 (Intel Xeon E5-2623 v4),8,4,1,4,2,186.0,197,Intel Xeon E5-2623 v4
Acer Incorporated,Altos R360 F3 (Intel Xeon E5-2623 v4),8,4,1,4,2,186.0,197,Intel Xeon E5-2623 v4
Acer Incorporated,Altos R380 F3 (Intel Xeon E5-2623 v4),8,4,1,4,2,186.0,197,Intel Xeon E5-2623 v4
Acer Incorporated,Altos R380 F3 (Intel Xeon E5-2650 v4),48,24,2,12,2,932.0,982,Intel Xeon E5-2650 v4
Acer Incorporated,AR 780 F3 (Intel Xeon E7-4809 v4),16,8,1,8,2,269.0,284,Intel Xeon E7-4809 v4
Acer Incorporated,AR 780 F3 (Intel Xeon E7-4820 v4),20,10,1,10,2,319.0,337,Intel Xeon E7-4820 v4
Acer Incorporated,AT350 F3 (Intel Xeon E5-2620 v4),16,8,1,8,2,332.0,351,Intel Xeon E5-2620 v4
Advanced Micro Devices,"Supermicro AS-1123US-TR4, AMD EPYC 7601",128,64,2,32,2,2100.0,2360,
Advanced Micro Devices,"HPE Cloudline CL3150, AMD EPYC 7601",64,32,1,32,2,1060.0,1200,
Bull SAS,bullion S16 ( E7-8894 v4 ),767,384,16,24,2,14400.0,14900,
Cisco Systems,Cisco UCS B420 M4 (Intel Xeon CPU E5-4667 v4 2.20 GHz),144,72,4,18,2,2740.0,2840,Intel Xeon CPU E5-4667 v4 2.20 GHz
Cisco Systems,Cisco UCS B460 M4 (Intel Xeon CPU E7-8893 v4 3.20 GHz),32,16,4,4,2,943.0,994,Intel Xeon CPU E7-8893 v4 3.20 GHz
