Company,System,AutoParallel,EnabledCores,EnabledChips,CoresPerChip,ThreadsPerCore,Base,Peak,CPU
Fujitsu,"PRIMERGY TX1330 M3, (Intel Xeon E3-1280 v6, 3.9GHz)",Yes,4,1,4,1,74.6,77.0,Intel Xeon E3-1280 v6
Huawei,Huawei RH2288H V3 (Intel Xeon E5-2683 v4),Yes,32,2,16,1,61.3,63.4,Intel Xeon E5-2683 v4
Huawei,Huawei XH321 V3 (Intel Xeon E5-2643 v4),Yes,12,2,6,1,68.7,72.1,Intel Xeon E5-2643 v4
Lenovo Group Limited,"Lenovo System x3650 M5 (2.10 GHz, Intel Xeon E5-2683 v4)",Yes,32,2,16,1,62.0,63.5,Intel Xeon E5-2683 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.20 GHz, Intel Xeon E5-2630 v4)",Yes,20,2,10,1,61.8,65.4,Intel Xeon E5-2630 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.20 GHz, Intel Xeon E5-2698 v4)",Yes,40,2,20,1,71.9,74.3,Intel Xeon E5-2698 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.40 GHz, Intel Xeon E5-2640 v4)",Yes,20,2,10,1,65.0,68.7,Intel Xeon E5-2640 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.60 GHz, Intel Xeon E5-2623 v4)",Yes,8,2,4,1,56.2,58.7,Intel Xeon E5-2623 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (1.70 GHz, Intel Xeon E5-2609 v4)",Yes,16,2,8,1,35.8,37.4,Intel Xeon E5-2609 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (1.70 GHz, Intel Xeon E5-2603 v4)",Yes,12,2,6,1,34.8,36.1,Intel Xeon E5-2603 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.60 GHz, Intel Xeon E5-2690 v4)",Yes,28,2,14,1,69.4,72.7,Intel Xeon E5-2690 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.40 GHz, Intel Xeon E5-2680 v4)",Yes,28,2,14,1,66.0,69.2,Intel Xeon E5-2680 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.00 GHz, Intel Xeon E5-2660 v4)",Yes,28,2,14,1,63.7,66.7,Intel Xeon E5-2660 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.20 GHz, Intel Xeon E5-2650 v4)",Yes,24,2,12,1,58.3,61.1,Intel Xeon E5-2650 v4
Lenovo Group Limited,"Lenovo System x3550 M5 (2.20 GHz, Intel Xeon E5-2699R v4)",Yes,44,2,22,1,73.1,75.1,Intel Xeon E5-2699R v4
Lenovo Group Limited,"Lenovo NeXtScale nx360 M5 (2.20 GHz, Intel Xeon E5-2699R v4)",Yes,44,2,22,1,73.0,75.1,Intel Xeon E5-2699R v4
Lenovo Group Limited,"Lenovo ThinkServer RD550 (2.20 GHz, Intel Xeon E5-2699R v4)",Yes,44,2,22,1,72.5,74.7,Intel Xeon E5-2699R v4
Lenovo Group Limited,"Lenovo ThinkServer RD650 (2.20 GHz, Intel Xeon E5-2699R v4)",Yes,44,2,22,1,71.8,74.2,Intel Xeon E5-2699R v4
Lenovo Group Limited,"Lenovo Flex System x240 M5 (2.20 GHz, Intel Xeon E5-2699R v4)",Yes,44,2,22,1,72.4,74.8,Intel Xeon E5-2699R v4
Lenovo Group Limited,"Lenovo System x3650 M5 (2.20 GHz, Intel Xeon E5-2699R v4)",Yes,44,2,22,1,73.2,75.2,Intel Xeon E5-2699R v4
Lenovo Group Limited,"Lenovo ThinkServer RD550 (2.30 GHz, Intel Xeon E5-2697 v4)",Yes,36,2,18,1,71.2,73.7,Intel Xeon E5-2697 v4
Lenovo Group Limited,"Lenovo ThinkServer TS460 (3.70 GHz, Intel Xeon E3-1280 v5)",Yes,4,1,4,1,71.2,73.4,Intel Xeon E3-1280 v5
Lenovo Group Limited,"Lenovo System x3850 X6 (Intel Xeon E7-8894 v4, 2.40 GHz)",Yes,96,4,24,1,70.1,Not Run,Intel Xeon E7-8894 v4
Lenovo Group Limited,"Lenovo System x3950 X6 (Intel Xeon E7-8894 v4, 2.40 GHz)",Yes,192,8,24,1,68.2,Not Run,Intel Xeon E7-8894 v4
Lenovo Group Limited,"Lenovo ThinkServer RD550 (2.40 GHz, Intel Xeon E5-2680 v4)",Yes,28,2,14,1,65.3,68.7,Intel Xeon E5-2680 v4
Lenovo Group Limited,"Lenovo ThinkServer TS460 (3.00 GHz, Intel Xeon E3-1220 v5)",Yes,4,1,4,1,64.0,65.6,Intel Xeon E3-1220 v5
Lenovo Group Limited,"Lenovo ThinkServer TS460 (3.40 GHz, Intel Xeon E3-1230 v5)",Yes,4,1,4,1,68.6,70.4,Intel Xeon E3-1230 v5
Lenovo Group Limited,"Lenovo ThinkServer TS460 (3.50 GHz, Intel Xeon E3-1240 v5)",Yes,4,1,4,1,70.1,72.1,Intel Xeon E3-1240 v5
Lenovo Group Limited,"Lenovo ThinkServer TS460 (3.60 GHz, Intel Xeon E3-1270 v5)",Yes,4,1,4,1,71.6,73.6,Intel Xeon E3-1270 v5
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.10 GHz, Intel Xeon E5-2620 v4)",Yes,16,2,8,1,57.3,60.3,Intel Xeon E5-2620 v4
Lenovo Group Limited,"Lenovo ThinkServer RD550 (3.50 GHz, Intel Xeon E5-2637 v4)",Yes,8,2,4,1,64.9,68.2,Intel Xeon E5-2637 v4
M Computers s.r.o.,"HPC S2600WT2R (Intel Xeon E5-2650 v4, 2.2 GHz)",Yes,24,2,12,1,57.4,60.1,Intel Xeon E5-2650 v4
NEC Corporation,Express5800/B120g-h (Intel Xeon E5-2667 v4),Yes,16,2,8,1,69.1,72.7,Intel Xeon E5-2667 v4
NEC Corporation,Express5800/B120g-h (Intel Xeon E5-2699 v4),Yes,44,2,22,1,72.0,74.4,Intel Xeon E5-2699 v4
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2640 v4, 2.40 GHz)",Yes,20,2,10,1,65.0,69.0,Intel Xeon E5-2640 v4
Cisco Systems,Cisco UCS B420 M4 (Intel Xeon CPU E5-4667 v4 2.20 GHz),Yes,72,4,18,1,62.2,64.2,Intel Xeon CPU E5-4667 v4 2.20 GHz
Cisco Systems,Cisco UCS B460 M4 (Intel Xeon CPU E7-8893 v4 3.20 GHz),Yes,16,4,4,1,69.4,71.7,Intel Xeon CPU E7-8893 v4 3.20 GHz
Cisco Systems,"Cisco UCS B420 M4 (Intel Xeon E5-4660 v4, 2.20 GHz)",Yes,64,4,16,1,61.8,64.4,Intel Xeon E5-4660 v4
Cisco Systems,Cisco UCS B420 M4 (Intel Xeon E5-4669 v4 2.20 GHz),Yes,88,4,22,1,63.5,65.5,Intel Xeon E5-4669 v4 2.20 GHz
Cisco Systems,Cisco UCS B460 M4 (Intel Xeon CPU E7-8891 v4 2.80 GHz),Yes,40,4,10,1,71.2,73.7,Intel Xeon CPU E7-8891 v4 2.80 GHz
Cisco Systems,Cisco UCS B460 M4 (Intel Xeon CPU E7-4809 v4 2.10 GHz),Yes,32,4,8,1,41.7,44.0,Intel Xeon CPU E7-4809 v4 2.10 GHz
Cisco Systems,Cisco UCS B460 M4 (Intel Xeon E7-4850 v4 2.10 GHz),Yes,64,4,16,1,58.3,60.7,Intel Xeon E7-4850 v4 2.10 GHz
Cisco Systems,Cisco UCS B460 M4 (Intel Xeon E7-4830 v4 2.00 GHz),Yes,56,4,14,1,56.0,58.8,Intel Xeon E7-4830 v4 2.00 GHz
Cisco Systems,Cisco UCS B460 M4 (Intel Xeon E7-8880 v4 2.20 GHz),Yes,88,4,22,1,68.0,70.4,Intel Xeon E7-8880 v4 2.20 GHz
Cisco Systems,Cisco UCS B460 M4 (Intel Xeon E7-8890 v4 2.20 GHz),Yes,96,4,24,1,69.7,71.9,Intel Xeon E7-8890 v4 2.20 GHz
Cisco Systems,Cisco UCS B460 M4 (Intel Xeon E7-8860 v4 2.20 GHz),Yes,72,4,18,1,65.5,67.8,Intel Xeon E7-8860 v4 2.20 GHz
Cisco Systems,Cisco UCS B460 M4 (Intel Xeon E7-8870 v4 2.10 GHz),Yes,80,4,20,1,62.8,65.1,Intel Xeon E7-8870 v4 2.10 GHz
