Company,System,Parallel,BaseThreads,EnabledCores,EnabledChips,ThreadsPerCore,Base,Peak,BaseEnergy,PeakEnergy,CPU,SCPU,CPU0
HPE,"ProLiant DL380 Gen10 (2.50 GHz, Intel Xeon Platinum 8180M)",Yes,56,56,2,1,9.19,Not Run,--,--,"2.50 GHz, Intel Xeon Platinum 8180M",Intel Xeon Platinum 8180M,Intel Xeon Platinum 8180M
HPE,"ProLiant DL380 Gen10 (3.20 GHz, Intel Xeon Gold 6146)",Yes,24,24,2,1,9.7,Not Run,--,--,"3.20 GHz, Intel Xeon Gold 6146",Intel Xeon Gold 6146,Intel Xeon Gold 6146
HPE,"Synergy 480 Gen10 (3.00 GHz, Intel Xeon Gold 6154)",Yes,36,36,2,1,8.75,Not Run,--,--,"3.00 GHz, Intel Xeon Gold 6154",Intel Xeon Gold 6154,Intel Xeon Gold 6154
HPE,"ProLiant DL560 Gen10 (3.00 GHz, Intel Xeon Platinum 8158)",Yes,48,48,4,1,8.75,Not Run,--,--,"3.00 GHz, Intel Xeon Platinum 8158",Intel Xeon Platinum 8158,Intel Xeon Platinum 8158
HPE,"Synergy 480 Gen10 (2.10 GHz, Intel Xeon Gold 6130)",Yes,32,32,2,1,8.65,Not Run,--,--,"2.10 GHz, Intel Xeon Gold 6130",Intel Xeon Gold 6130,Intel Xeon Gold 6130
HPE,"ProLiant DL380 Gen10 (2.20 GHz, Intel Xeon Silver 4114)",Yes,20,20,2,1,7.01,Not Run,--,--,"2.20 GHz, Intel Xeon Silver 4114",Intel Xeon Silver 4114,Intel Xeon Silver 4114
HPE,"ProLiant DL560 Gen10 (3.60 GHz, Intel Xeon Platinum 8156)",Yes,16,16,4,1,8.44,Not Run,--,--,"3.60 GHz, Intel Xeon Platinum 8156",Intel Xeon Platinum 8156,Intel Xeon Platinum 8156
HPE,"ProLiant DL360 Gen10 (2.70 GHz, Intel Xeon Platinum 8168)",Yes,48,48,2,1,8.95,Not Run,--,--,"2.70 GHz, Intel Xeon Platinum 8168",Intel Xeon Platinum 8168,Intel Xeon Platinum 8168
HPE,"ProLiant DL380 Gen10 (2.60 GHz, Intel Xeon Gold 6142)",Yes,32,32,2,1,8.76,Not Run,--,--,"2.60 GHz, Intel Xeon Gold 6142",Intel Xeon Gold 6142,Intel Xeon Gold 6142
HPE,"ProLiant DL360 Gen10 (2.10 GHz, Intel Xeon Platinum 8176)",Yes,56,56,2,1,9.19,Not Run,--,--,"2.10 GHz, Intel Xeon Platinum 8176",Intel Xeon Platinum 8176,Intel Xeon Platinum 8176
HPE,"ProLiant DL560 Gen10 (2.10 GHz, Intel Xeon Platinum 8160)",Yes,96,96,4,1,8.86,Not Run,--,--,"2.10 GHz, Intel Xeon Platinum 8160",Intel Xeon Platinum 8160,Intel Xeon Platinum 8160
HPE,"ProLiant DL560 Gen10 (2.00 GHz, Intel Xeon Platinum 8153)",Yes,64,64,4,1,6.89,Not Run,--,--,"2.00 GHz, Intel Xeon Platinum 8153",Intel Xeon Platinum 8153,Intel Xeon Platinum 8153
HPE,"ProLiant DL380 Gen10 (1.80 GHz, Intel Xeon Silver 4108)",Yes,16,16,2,1,6.85,Not Run,--,--,"1.80 GHz, Intel Xeon Silver 4108",Intel Xeon Silver 4108,Intel Xeon Silver 4108
HPE,"ProLiant DL360 Gen10 (2.10 GHz, Intel Xeon Silver 4116)",Yes,24,24,2,1,7.08,Not Run,--,--,"2.10 GHz, Intel Xeon Silver 4116",Intel Xeon Silver 4116,Intel Xeon Silver 4116
HPE,"ProLiant DL380 Gen10 (2.60 GHz, Intel Xeon Silver 4112)",Yes,8,8,2,1,6.61,Not Run,--,--,"2.60 GHz, Intel Xeon Silver 4112",Intel Xeon Silver 4112,Intel Xeon Silver 4112
HPE,"ProLiant DL360 Gen10 (2.20 GHz, Intel Xeon Silver 4114)",Yes,20,20,2,1,7.02,Not Run,--,--,"2.20 GHz, Intel Xeon Silver 4114",Intel Xeon Silver 4114,Intel Xeon Silver 4114
HPE,"ProLiant DL380 Gen10 (2.40 GHz, Intel Xeon Gold 6148)",Yes,40,40,2,1,8.88,Not Run,--,--,"2.40 GHz, Intel Xeon Gold 6148",Intel Xeon Gold 6148,Intel Xeon Gold 6148
HPE,"ProLiant DL380 Gen10 (2.60 GHz, Intel Xeon Gold 6126)",Yes,24,24,2,1,8.63,Not Run,--,--,"2.60 GHz, Intel Xeon Gold 6126",Intel Xeon Gold 6126,Intel Xeon Gold 6126
HPE,"ProLiant DL380 Gen10 (2.30 GHz, Intel Xeon Gold 6140)",Yes,36,36,2,1,8.79,Not Run,--,--,"2.30 GHz, Intel Xeon Gold 6140",Intel Xeon Gold 6140,Intel Xeon Gold 6140
HPE,"ProLiant DL360 Gen10 (2.60 GHz, Intel Xeon Silver 4112)",Yes,8,8,2,1,6.63,Not Run,--,--,"2.60 GHz, Intel Xeon Silver 4112",Intel Xeon Silver 4112,Intel Xeon Silver 4112
HPE,"ProLiant DL380 Gen10 (2.10 GHz, Intel Xeon Gold 6152)",Yes,44,44,2,1,8.89,Not Run,--,--,"2.10 GHz, Intel Xeon Gold 6152",Intel Xeon Gold 6152,Intel Xeon Gold 6152
HPE,"ProLiant DL360 Gen10 (2.60 GHz, Intel Xeon Gold 6132)",Yes,28,28,2,1,8.64,Not Run,--,--,"2.60 GHz, Intel Xeon Gold 6132",Intel Xeon Gold 6132,Intel Xeon Gold 6132
HPE,"ProLiant DL380 Gen10 (2.60 GHz, Intel Xeon Gold 6132)",Yes,28,28,2,1,8.64,Not Run,--,--,"2.60 GHz, Intel Xeon Gold 6132",Intel Xeon Gold 6132,Intel Xeon Gold 6132
HPE,"ProLiant DL380 Gen10 (3.40 GHz, Intel Xeon Gold 6128)",Yes,12,12,2,1,8.32,Not Run,--,--,"3.40 GHz, Intel Xeon Gold 6128",Intel Xeon Gold 6128,Intel Xeon Gold 6128
HPE,"ProLiant DL360 Gen10 (2.10 GHz, Intel Xeon Silver 4110)",Yes,16,16,2,1,6.89,Not Run,--,--,"2.10 GHz, Intel Xeon Silver 4110",Intel Xeon Silver 4110,Intel Xeon Silver 4110
HPE,"ProLiant DL360 Gen10 (1.80 GHz, Intel Xeon Silver 4108)",Yes,16,16,2,1,6.87,Not Run,--,--,"1.80 GHz, Intel Xeon Silver 4108",Intel Xeon Silver 4108,Intel Xeon Silver 4108
HPE,"ProLiant DL380 Gen10 (3.60 GHz, Intel Xeon Gold 5122)",Yes,8,8,2,1,8.17,Not Run,--,--,"3.60 GHz, Intel Xeon Gold 5122",Intel Xeon Gold 5122,Intel Xeon Gold 5122
HPE,"ProLiant DL360 Gen10 (2.30 GHz, Intel Xeon Gold 6140)",Yes,36,36,2,1,8.8,Not Run,--,--,"2.30 GHz, Intel Xeon Gold 6140",Intel Xeon Gold 6140,Intel Xeon Gold 6140
HPE,"ProLiant DL360 Gen10 (2.00 GHz, Intel Xeon Gold 6138)",Yes,40,40,2,1,8.84,Not Run,--,--,"2.00 GHz, Intel Xeon Gold 6138",Intel Xeon Gold 6138,Intel Xeon Gold 6138
HPE,"ProLiant DL360 Gen10 (2.60 GHz, Intel Xeon Gold 6142)",Yes,32,32,2,1,8.74,Not Run,--,--,"2.60 GHz, Intel Xeon Gold 6142",Intel Xeon Gold 6142,Intel Xeon Gold 6142
HPE,"ProLiant DL380 Gen10 (2.00 GHz, Intel Xeon Gold 6138)",Yes,40,40,2,1,8.84,Not Run,--,--,"2.00 GHz, Intel Xeon Gold 6138",Intel Xeon Gold 6138,Intel Xeon Gold 6138
HPE,"ProLiant DL360 Gen10 (2.00 GHz, Intel Xeon Platinum 8164)",Yes,52,52,2,1,8.98,Not Run,--,--,"2.00 GHz, Intel Xeon Platinum 8164",Intel Xeon Platinum 8164,Intel Xeon Platinum 8164
HPE,"Synergy 480 Gen10 (2.60 GHz, Intel Xeon Gold 6142)",Yes,32,32,2,1,8.7,Not Run,--,--,"2.60 GHz, Intel Xeon Gold 6142",Intel Xeon Gold 6142,Intel Xeon Gold 6142
HPE,"ProLiant DL360 Gen10 (3.20 GHz, Intel Xeon Gold 6134)",Yes,16,16,2,1,8.74,Not Run,--,--,"3.20 GHz, Intel Xeon Gold 6134",Intel Xeon Gold 6134,Intel Xeon Gold 6134
HPE,"ProLiant DL380 Gen10 (3.20 GHz, Intel Xeon Gold 6134)",Yes,16,16,2,1,8.77,Not Run,--,--,"3.20 GHz, Intel Xeon Gold 6134",Intel Xeon Gold 6134,Intel Xeon Gold 6134
HPE,"ProLiant DL360 Gen10 (2.10 GHz, Intel Xeon Gold 6152)",Yes,44,44,2,1,8.91,Not Run,--,--,"2.10 GHz, Intel Xeon Gold 6152",Intel Xeon Gold 6152,Intel Xeon Gold 6152
HPE,"ProLiant DL360 Gen10 (3.00 GHz, Intel Xeon Platinum 8158)",Yes,24,24,2,1,8.78,Not Run,--,--,"3.00 GHz, Intel Xeon Platinum 8158",Intel Xeon Platinum 8158,Intel Xeon Platinum 8158
HPE,"Synergy 480 Gen10 (2.10 GHz, Intel Xeon Gold 6152)",Yes,44,44,2,1,8.85,Not Run,--,--,"2.10 GHz, Intel Xeon Gold 6152",Intel Xeon Gold 6152,Intel Xeon Gold 6152
HPE,"ProLiant DL360 Gen10 (3.00 GHz, Intel Xeon Gold 6154)",Yes,36,36,2,1,8.82,Not Run,--,--,"3.00 GHz, Intel Xeon Gold 6154",Intel Xeon Gold 6154,Intel Xeon Gold 6154
HPE,"ProLiant DL360 Gen10 (2.10 GHz, Intel Xeon Platinum 8160)",Yes,48,48,2,1,8.92,Not Run,--,--,"2.10 GHz, Intel Xeon Platinum 8160",Intel Xeon Platinum 8160,Intel Xeon Platinum 8160
HPE,"ProLiant DL380 Gen10 (2.80 GHz, Intel Xeon Gold 6143)",Yes,32,32,2,1,9.31,Not Run,--,--,"2.80 GHz, Intel Xeon Gold 6143",Intel Xeon Gold 6143,Intel Xeon Gold 6143
HPE,"Synergy 480 Gen10 (2.40 GHz, Intel Xeon Gold 6148)",Yes,40,40,2,1,8.76,Not Run,--,--,"2.40 GHz, Intel Xeon Gold 6148",Intel Xeon Gold 6148,Intel Xeon Gold 6148
HPE,"ProLiant DL380 Gen10 (3.50 GHz, Intel Xeon Gold 6144)",Yes,16,16,2,1,9.69,Not Run,--,--,"3.50 GHz, Intel Xeon Gold 6144",Intel Xeon Gold 6144,Intel Xeon Gold 6144
