Company,System,BaseCopies,EnabledCores,EnabledChips,ThreadsPerCore,Base,Peak,BaseEnergy,PeakEnergy,CPU,SCPU,CPU0
Fujitsu,"PRIMERGY TX1330 M3, (Intel Xeon E3-1220 v6, 3.0 GHz)",4,4,1,1,20.7,Not Run,--,--,"Intel Xeon E3-1220 v6, 3.0 GHz","Intel Xeon E3-1220 v6, 3.0 GHz",Intel Xeon E3-1220 v6
Fujitsu,"PRIMEQUEST 3800E, (Intel Xeon Platinum 8180, 2.50GHz)",447,224,8,2,1170.0,Not Run,--,--,"Intel Xeon Platinum 8180, 2.50GHz","Intel Xeon Platinum 8180, 2.50GHz",Intel Xeon Platinum 8180
HPE,"ProLiant DL380 Gen10 (2.10 GHz, Intel Xeon Platinum 8176)",112,56,2,2,254.0,Not Run,--,--,"2.10 GHz, Intel Xeon Platinum 8176",Intel Xeon Platinum 8176,Intel Xeon Platinum 8176
HPE,"ProLiant DL380 Gen10 (2.10 GHz, Intel Xeon Platinum 8170)",104,52,2,2,241.0,Not Run,--,--,"2.10 GHz, Intel Xeon Platinum 8170",Intel Xeon Platinum 8170,Intel Xeon Platinum 8170
HPE,"ProLiant DL360 Gen10 (2.40 GHz, Intel Xeon Gold 6148)",80,40,2,2,201.0,Not Run,--,--,"2.40 GHz, Intel Xeon Gold 6148",Intel Xeon Gold 6148,Intel Xeon Gold 6148
HPE,"ProLiant DL380 Gen10 (2.50 GHz, Intel Xeon Platinum 8180)",112,56,2,2,279.0,Not Run,--,--,"2.50 GHz, Intel Xeon Platinum 8180",Intel Xeon Platinum 8180,Intel Xeon Platinum 8180
HPE,"ProLiant DL380 Gen10 (3.00 GHz, Intel Xeon Gold 6154)",72,36,2,2,213.0,Not Run,--,--,"3.00 GHz, Intel Xeon Gold 6154",Intel Xeon Gold 6154,Intel Xeon Gold 6154
HPE,"ProLiant DL360 Gen10 (2.50 GHz, Intel Xeon Platinum 8180M)",112,56,2,2,280.0,Not Run,--,--,"2.50 GHz, Intel Xeon Platinum 8180M",Intel Xeon Platinum 8180M,Intel Xeon Platinum 8180M
HPE,"ProLiant DL380 Gen10 (2.10 GHz, Intel Xeon Platinum 8160)",96,48,2,2,225.0,Not Run,--,--,"2.10 GHz, Intel Xeon Platinum 8160",Intel Xeon Platinum 8160,Intel Xeon Platinum 8160
HPE,"ProLiant DL380 Gen10 (2.50 GHz, Intel Xeon Platinum 8180M)",112,56,2,2,281.0,Not Run,--,--,"2.50 GHz, Intel Xeon Platinum 8180M",Intel Xeon Platinum 8180M,Intel Xeon Platinum 8180M
HPE,"ProLiant DL380 Gen10 (2.00 GHz, Intel Xeon Platinum 8153)",64,32,2,2,141.0,Not Run,--,--,"2.00 GHz, Intel Xeon Platinum 8153",Intel Xeon Platinum 8153,Intel Xeon Platinum 8153
HPE,"ProLiant DL380 Gen10 (2.10 GHz, Intel Xeon Silver 4116)",48,24,2,2,108.0,Not Run,--,--,"2.10 GHz, Intel Xeon Silver 4116",Intel Xeon Silver 4116,Intel Xeon Silver 4116
HPE,"ProLiant DL380 Gen10 (2.70 GHz, Intel Xeon Platinum 8168)",96,48,2,2,260.0,280,--,--,"2.70 GHz, Intel Xeon Platinum 8168",Intel Xeon Platinum 8168,Intel Xeon Platinum 8168
HPE,"ProLiant DL380 Gen10 (3.00 GHz, Intel Xeon Platinum 8158)",48,24,2,2,152.0,Not Run,--,--,"3.00 GHz, Intel Xeon Platinum 8158",Intel Xeon Platinum 8158,Intel Xeon Platinum 8158
HPE,"ProLiant DL380 Gen10 (3.60 GHz, Intel Xeon Platinum 8156)",16,8,2,2,56.4,Not Run,--,--,"3.60 GHz, Intel Xeon Platinum 8156",Intel Xeon Platinum 8156,Intel Xeon Platinum 8156
HPE,"ProLiant DL380 Gen10 (2.60 GHz, Intel Xeon Gold 6126)",48,24,2,2,141.0,Not Run,--,--,"2.60 GHz, Intel Xeon Gold 6126",Intel Xeon Gold 6126,Intel Xeon Gold 6126
HPE,"ProLiant DL380 Gen10 (2.00 GHz, Intel Xeon Platinum 8164)",104,52,2,2,229.0,Not Run,--,--,"2.00 GHz, Intel Xeon Platinum 8164",Intel Xeon Platinum 8164,Intel Xeon Platinum 8164
